x, y, z
4, 0, 218
3, 1, 217
5, 1, 217
3, 2, 217
3, 1, 218
4, 1, 217
2, 2, 218
3, 1, 219
4, 0, 218
6, 0, 217
4, 1, 217
4, 1, 217
3, 1, 217
3, 1, 216
3, 1, 218
3, 1, 220
4, 1, 218
2, 1, 217
3, 2, 218
5, 2, 217
5, -1, 219
3, 1, 217
3, 2, 219
4, 3, 215
3, -1, 223
3, 3, 218
4, 2, 217
4, 1, 220
2, 0, 219
4, 1, 215
4, 2, 215
3, -2, 223
4, 2, 216
4, 2, 218
5, 0, 217
4, 2, 219
4, 1, 218
4, 0, 218
4, 1, 217
3, 1, 216
3, 3, 214
4, 1, 218
4, 1, 219
4, 1, 218
4, 2, 217
3, 1, 218
2, 2, 219
3, 2, 218
3, 1, 220
3, 1, 221
2, 0, 217
3, 2, 217
3, 2, 216
3, 0, 218
3, 1, 217
3, 0, 220
4, 1, 218
4, 1, 218
4, 0, 216
3, 1, 218
5, 1, 219
4, 1, 222
3, 1, 222
3, 1, 220
3, 1, 216
3, 1, 217
5, 0, 217
3, 0, 219
5, 2, 215
5, 2, 214
4, 2, 218
3, 1, 219
4, 1, 216
2, 1, 218
3, 1, 217
4, 1, 217
3, 1, 217
5, 1, 217
4, 1, 216
4, 1, 218
3, 0, 218
4, 2, 217
3, 1, 217
4, 1, 218
4, 1, 216
5, 1, 217
5, 1, 218
4, 1, 217
4, 2, 218
4, 4, 215
3, 1, 217
4, 1, 216
7, 0, 218
3, 2, 218
2, 2, 218
5, 1, 218
4, 0, 220
5, 0, 217
4, 0, 219
3, 1, 217
5, 0, 217
5, 1, 217
4, 1, 220
3, 2, 218
4, 2, 217
3, 2, 216
5, 2, 218
3, 3, 219
3, 1, 216
4, 1, 221
3, 1, 217
3, 1, 220
4, 1, 219
2, 1, 219
4, 1, 218
4, 0, 215
4, 1, 215
4, 0, 217
3, 1, 219
2, 0, 220
4, 2, 218
5, 2, 216
4, 2, 216
4, 1, 216
3, 2, 220
3, 1, 219
2, 1, 220
4, 1, 216
3, 2, 218
4, 2, 218
1, 2, 219
4, 1, 219
4, 1, 218
3, 1, 216
3, 0, 220
4, 1, 217
4, 1, 216
5, 1, 218
4, 2, 217
4, 3, 218
3, -1, 220
4, 2, 217
3, 1, 218
3, 1, 219
3, 1, 219
3, 0, 219
3, 1, 218
4, -1, 220
3, 1, 217
3, 1, 217
3, 0, 218
2, 1, 220
3, 1, 217
5, 1, 218
3, 0, 218
3, 2, 220
5, 2, 217
3, 1, 222
3, 0, 220
3, 2, 218
4, 2, 217
2, 3, 218
4, 2, 217
3, 1, 217
4, 1, 217
2, 0, 217
4, 0, 216
4, 0, 217
3, 1, 220
2, 0, 221
4, 1, 219
3, 1, 220
3, 2, 217
4, 2, 216
3, 2, 215
4, 1, 219
3, 1, 218
3, 1, 218
3, 0, 220
3, 1, 217
2, 1, 216
2, 1, 219
4, 1, 217
4, 1, 218
5, 0, 218
4, 1, 219
4, 1, 218
2, 2, 221
4, 0, 218
3, 1, 217
3, 1, 216
3, 1, 217
3, 0, 219
3, 2, 222
1, 3, 217
4, 1, 212
6, 0, 215
3, 1, 222
4, -1, 217
3, 2, 212
4, 2, 216
4, 0, 221
5, 0, 217
3, 1, 220
