x,y,z
-3, 35, 231
4, 34, 243
13, 50, 250
19, 52, 267
9, 36, 294
6, 29, 305
7, 27, 304
1, 19, 311
6, 30, 329
-6, 25, 345
-34, 24, 351
-56, 5, 309
-41, -2, 289
-39, -51, 264
-51, -89, 256
-75, -83, 211
-64, -59, 206
-66, -40, 150
-66, -34, 132
-79, -13, 92
-86, 1, 57
-148, 28, -3
-180, 33, -25
-232, 41, -22
-247, 38, -41
-247, 28, -60
-238, 19, -72
-245, 19, -105
-304, 33, -121
-318, 42, -117
-313, 77, -109
-306, 77, -103
-294, 66, -83
-277, 51, -66
-262, 50, -61
-243, 39, -35
-236, 39, -19
-215, 30, -5
-213, 14, 8
-210, 17, 23
-212, 25, 29
-212, 45, 44
-209, 38, 47
-201, 30, 32
-163, 23, 73
-156, -4, 84
-140, 3, 134
-130, 16, 136
-112, 37, 145
-106, 46, 147
-91, 12, 145
-72, -1, 148
-48, 4, 172
-29, 12, 184
-2, 15, 229
10, 19, 233
22, 30, 241
15, 42, 232
16, 46, 231
17, 40, 242
32, 24, 268
34, 27, 266
36, 33, 270
35, 42, 271
34, 37, 279
31, 38, 281
24, 39, 282
12, 48, 280
3, 48, 276
-4, 47, 275
-12, 58, 253
-7, 46, 246
-2, 36, 245
-2, 33, 245
-5, 35, 237
-6, 32, 230
-1, 32, 222
3, 39, 215
-1, 42, 215
-3, 40, 225
-4, 39, 228
-7, 41, 219
-5, 38, 218
-7, 38, 220
-12, 36, 224
-14, 37, 222
-14, 34, 224
-12, 29, 223
1, 31, 218
0, 31, 216
0, 31, 217
-1, 32, 218
-2, 28, 217
-2, 30, 217
-3, 31, 217
-8, 38, 218
-8, 44, 213
-6, 42, 214
0, 37, 216
1, 33, 218
2, 34, 225
2, 36, 225
3, 35, 241
4, 45, 252
14, 57, 257
22, 72, 263
3, 52, 263
7, 41, 278
9, 30, 304
3, 13, 343
7, 17, 356
-7, 10, 344
-16, 6, 322
-97, 35, 262
-134, 32, 261
-137, 3, 248
-124, 14, 208
-116, -18, 196
-102, -47, 195
-85, -77, 174
-62, -59, 123
-56, -46, 100
-98, -27, 72
-120, -27, 58
-175, -3, 15
-199, 2, -3
-207, 4, -18
-193, 0, -26
-205, -6, -26
-232, -11, -39
-237, -5, -47
-251, 21, -63
-279, 32, -69
-292, 35, -61
-300, 42, -71
-298, 48, -77
-291, 39, -76
-285, 39, -73
-261, 43, -63
-259, 44, -56
-258, 47, -44
-255, 51, -29
-253, 46, -21
-253, 31, -3
-251, 26, 5
-258, 16, 13
-244, 22, 24
-241, 12, 35
-218, 2, 53
-205, 1, 47
-199, -2, 45
-194, -35, 59
-186, -32, 55
-164, -4, 89
-154, 9, 95
-143, 30, 118
-148, 33, 126
-115, 37, 114
-105, 22, 121
-79, -1, 176
-54, -13, 185
17, -6, 194
32, 4, 195
23, 12, 214
41, 39, 217
33, 32, 228
48, 19, 271
44, 12, 282
40, 4, 291
34, 2, 287
29, -3, 291
22, 1, 290
13, 2, 288
5, 3, 287
2, 1, 275
1, -2, 272
0, -7, 266
3, -5, 257
-15, -13, 260
10, 30, 228
-7, 1, 235
-11, 15, 244
-6, 28, 228
-13, 26, 232
-14, 20, 232
-12, 20, 227
-11, 27, 216
-7, 25, 216
-6, 13, 213
-6, 11, 215
-8, 6, 220
-11, 6, 221
-11, 6, 225
-12, 6, 223
-13, 2, 224
-13, 3, 217
-11, 1, 219
-6, 2, 218
-7, 5, 218
-7, 5, 214
-3, 4, 215
-8, 5, 219
-9, 3, 220
-10, 2, 218
-9, -1, 218
-8, 2, 219
-8, 4, 218
-9, 5, 215
-12, 10, 216
-13, 14, 215
-15, 13, 218
-18, 14, 218
-15, 16, 212
-14, 12, 217
-14, 8, 220
-16, 11, 217
-13, 8, 220
-15, 5, 222
-13, 5, 221
-14, 7, 220
-11, 5, 216
-14, 4, 220
-13, 7, 223
-16, 7, 217
-17, 12, 221
-14, 9, 218
-13, 12, 216
-7, 10, 211
-10, 11, 217
-14, 9, 219
-15, 6, 221
-17, 10, 220
-18, 11, 219
-18, 13, 222
-17, 9, 216
-13, 6, 222
-12, 9, 217
-10, 7, 213
-11, 6, 217
-12, 7, 213
-12, 5, 220
-13, 8, 220
-15, 8, 219
-13, 8, 219
-13, 6, 220
-15, 11, 218
-15, 14, 224
-15, 16, 226
-8, 20, 234
-4, 24, 241
-4, 26, 250
-10, 11, 284
-11, 12, 288
-5, 2, 290
-1, 1, 291
1, -1, 296
5, -8, 305
11, -20, 306
54, -29, 306
-20, -17, 272
-95, 15, 319
-45, 42, 265
-49, 49, 225
-75, 58, 209
-106, 50, 185
-127, 52, 158
-128, 8, 168
-110, -11, 153
-99, -21, 131
-125, -25, 93
-150, -20, 64
-191, -16, 20
-204, -4, -15
-210, 7, -56
-201, 13, -67
-205, 16, -83
-218, 25, -93
-256, 40, -110
-286, 55, -115
-274, 64, -123
-275, 71, -130
-273, 78, -128
-267, 78, -121
-259, 70, -111
-249, 63, -97
-250, 63, -93
-248, 60, -77
-247, 62, -71
-244, 62, -58
-249, 56, -50
-252, 56, -41
-249, 56, -35
-250, 49, -23
-253, 47, -14
-257, 41, -2
-248, 39, 7
-219, 34, 35
-205, 32, 48
-199, 11, 65
-196, 9, 70
-182, 3, 55
-137, -9, 73
-122, -5, 87
-119, 6, 134
-127, 5, 138
-126, 17, 136
-132, 19, 148
-125, 12, 158
-117, 13, 173
-95, 23, 182
-77, 23, 179
-50, 9, 177
-32, 11, 173
-30, 13, 199
-46, 15, 264
-56, 10, 274
-74, 36, 277
-87, 21, 268
-98, 20, 287
-59, 49, 293
-79, 1, 315
-77, 2, 315
-75, -1, 305
-73, -12, 295
-72, -11, 285
-67, -15, 265
-63, -3, 245
-60, 4, 230
-61, 5, 219
-59, 13, 199
-59, 16, 193
-61, 16, 185
-55, 11, 183
-60, 6, 174
-62, 9, 168
-53, 5, 150
-44, 3, 140
-36, 23, 131
-45, 4, 140
-54, 9, 159
-76, 56, 184
-65, 60, 174
-63, 27, 184
-67, 29, 170
-67, 10, 245
-55, 5, 225
-75, -5, 211
-78, 13, 233
-71, -22, 222
-85, 27, 222
-92, 39, 178
-94, 49, 325
-87, 48, 210
-54, 42, 236
-31, 61, 90
-73, 17, 60
-62, 57, 128
-76, 46, 126
-57, -1, 170
-49, 7, 173
-52, -27, 223
-47, -57, 298
-5, 13, 275
0, -5, 346
3, -25, 388
-7, -2, 311
-29, 5, 200
-22, 3, 196
-6, 2, 209
-17, 22, -24
-45, -61, 141
30, -11, 329
10, -28, 265
-2, -25, 198
1, -49, 168
-8, -65, 146
-4, -5, 126
-15, 41, 129
42, 29, 191
5, -1, 220
-2, -26, 235
2, -2, 227
3, 1, 220
0, -1, 222
4, 2, 218
5, 1, 217
4, 2, 217
4, 3, 218
3, 2, 217
3, 1, 219
4, 1, 217
3, 2, 218
3, 2, 217
3, 1, 220
4, 3, 218
4, 2, 218
3, 2, 218
6, 1, 218
3, 3, 217
4, 2, 219
3, 3, 217
4, 2, 218
2, 0, 220
4, 1, 219
5, 3, 217
5, 1, 216
2, 0, 218
3, 2, 219
4, 3, 217
5, 3, 216
4, 3, 219
4, 2, 219
4, 3, 217
3, 1, 217
5, 2, 218
3, 2, 216
3, 2, 217
5, 1, 219
4, 2, 222
3, 1, 218
3, 3, 218
3, 1, 220
3, 2, 217
3, 3, 217
5, 2, 218
4, 1, 216
3, 1, 219
2, 1, 220
3, 2, 219
2, 1, 218
3, 2, 218
5, 2, 218
4, 1, 218
3, 1, 217
