x, y, z
3, 2, 218
2, 2, 218
2, 1, 221
2, 1, 217
4, 1, 219
2, 1, 221
2, 2, 220
4, 0, 219
2, 1, 220
2, 1, 219
3, 1, 217
4, 1, 218
2, 0, 218
3, 0, 220
2, 1, 217
3, 2, 216
5, 0, 221
3, 0, 222
4, 1, 218
3, 2, 221
4, 1, 220
2, 2, 217
2, 2, 220
2, 1, 219
3, 2, 218
3, 2, 218
2, 1, 218
3, 1, 215
3, 0, 219
2, 0, 220
2, 0, 221
3, 1, 219
5, 0, 218
3, 3, 218
3, 2, 218
3, 2, 219
3, 0, 220
3, 2, 219
4, 1, 219
3, 1, 218
4, 1, 219
3, 1, 219
3, 3, 220
3, 1, 219
2, 0, 217
3, 1, 219
3, 4, 215
2, 1, 218
3, 2, 218
3, 1, 220
3, 2, 217
3, -1, 219
2, 1, 216
4, 1, 219
2, 4, 217
4, 0, 220
1, 1, 218
2, 2, 215
3, 2, 217
4, 0, 219
3, 0, 220
3, 1, 220
4, 1, 217
3, 2, 217
3, 1, 219
3, 1, 218
3, 2, 217
3, 1, 220
3, 1, 218
3, 0, 219
3, 0, 220
4, 3, 214
3, 3, 212
2, 0, 212
3, 3, 214
2, 0, 219
4, 1, 219
4, 2, 215
4, 1, 219
4, 1, 218
3, 1, 221
3, 1, 218
3, 0, 218
4, 1, 218
2, 0, 219
2, 2, 218
3, -1, 219
4, 1, 219
3, 1, 219
3, 1, 218
2, 1, 219
2, 0, 220
2, 0, 220
4, 1, 218
3, 1, 219
2, 0, 219
3, 1, 218
3, 1, 217
2, 1, 218
3, 1, 217
1, 1, 217
4, 1, 218
3, 1, 219
3, 2, 215
4, 1, 216
4, -1, 222
3, 1, 220
3, 1, 220
2, 1, 219
3, 4, 213
3, 2, 220
1, 2, 221
3, 1, 220
3, 1, 219
3, 2, 221
3, 1, 217
3, 1, 219
2, 2, 217
3, 0, 219
2, 3, 217
2, 5, 213
3, 2, 220
3, 1, 219
2, 1, 220
4, 0, 221
3, 0, 220
4, 2, 214
3, 2, 217
3, 0, 221
3, 3, 215
3, 1, 219
4, 2, 219
3, 1, 217
3, 1, 219
2, 1, 219
1, -6, 218
5, 4, 216
-8, 4, 216
4, 3, 218
3, 0, 221
4, 3, 217
3, 1, 219
3, 2, 219
2, 2, 216
3, 0, 216
4, 0, 219
3, 2, 215
2, 0, 218
3, 1, 219
3, -1, 222
3, 2, 217
4, 1, 220
4, 2, 219
2, 2, 219
4, 1, 216
3, 0, 219
2, 1, 221
2, 2, 219
3, 2, 216
4, 2, 218
3, 1, 220
4, 2, 218
3, 1, 219
4, 2, 220
4, 1, 219
4, 1, 219
3, 1, 218
3, 1, 217
3, 1, 218
3, -1, 222
3, 2, 217
2, 2, 217
2, 0, 218
3, 1, 218
4, 1, 219
3, 3, 220
2, 1, 218
3, 2, 218
2, 0, 217
3, 1, 220
4, 1, 217
3, 0, 220
2, 0, 218
3, 1, 218
2, 1, 219
0, 3, 218
