x, y, z
-39, 8, 213
-42, 11, 224
-30, 8, 215
-32, 6, 219
-15, 4, 219
-28, -3, 220
-29, -6, 218
2, -1, 219
6, 1, 216
-11, 1, 218
-15, 0, 219
-79, -5, 214
-56, 9, 220
-42, 8, 222
-38, 1, 226
-29, 10, 227
-29, 14, 216
-33, 14, 214
-32, -2, 229
-37, -9, 232
7, -2, 211
-22, -13, 224
-39, -8, 218
29, -16, 220
18, -16, 218
44, -8, 219
46, 0, 223
38, 0, 231
56, 6, 215
59, -3, 216
36, -3, 220
43, 7, 225
40, -1, 220
39, -3, 221
33, 4, 220
32, 3, 219
34, -3, 217
5, 1, 217
2, 1, 216
3, 0, 219
3, 2, 217
4, -1, 218
4, -2, 221
3, 1, 217
2, 0, 221
4, 0, 211
4, 1, 216
3, 1, 217
3, -1, 219
3, 1, 217
2, 1, 220
2, 2, 218
3, 0, 220
3, -2, 219
2, -2, 217
3, -2, 220
3, -11, 217
5, 1, 217
3, 0, 215
2, 9, 220
3, 8, 217
3, 7, 218
5, 2, 217
4, 0, 216
3, 0, 218
3, 0, 218
3, 0, 220
3, -1, 218
4, 1, 216
2, 0, 218
2, -1, 219
3, 0, 218
3, 0, 220
4, -1, 216
3, 0, 220
3, -1, 219
2, 1, 216
3, 1, 219
2, 1, 220
3, 0, 219
4, -1, 219
2, 0, 218
2, -1, 221
2, 0, 218
2, 1, 217
3, 0, 218
3, -1, 220
3, 0, 218
2, 0, 220
2, -1, 220
2, -1, 219
3, 0, 219
1, -1, 218
4, 0, 217
4, 0, 217
2, 0, 219
5, 1, 216
3, 1, 220
3, 1, 219
2, 1, 219
1, 0, 217
3, 1, 219
2, 0, 217
3, -1, 217
3, -1, 218
3, 1, 218
2, -1, 220
3, -2, 219
4, -1, 216
2, -1, 220
3, -2, 218
3, -3, 219
3, 0, 216
4, 2, 218
4, -1, 219
4, -1, 218
3, 2, 214
3, 1, 217
3, 0, 217
2, 0, 219
3, 1, 220
2, 0, 218
3, 1, 216
2, 0, 217
3, 2, 215
2, 1, 217
2, 1, 221
3, 1, 221
2, 0, 217
3, 2, 216
3, 1, 219
3, 0, 220
2, 0, 220
1, -1, 220
1, 1, 217
3, -1, 218
2, 0, 216
2, 0, 218
2, 1, 220
2, 1, 217
2, 1, 213
4, 0, 217
3, -1, 218
1, 1, 215
1, -2, 218
3, -1, 215
4, 1, 218
3, 0, 218
4, 0, 219
2, -1, 222
4, -1, 218
2, -1, 219
2, 1, 219
2, 1, 218
3, 1, 218
3, 0, 217
2, 0, 216
3, 0, 217
2, 1, 217
3, -1, 219
2, 0, 219
2, 1, 215
4, 1, 220
2, 1, 218
1, 1, 219
2, 0, 219
3, 1, 218
3, 1, 217
2, -1, 218
3, 1, 218
3, 0, 218
4, -1, 219
3, -1, 217
2, -2, 220
2, 0, 219
3, -1, 218
3, 1, 218
2, 1, 220
2, 0, 219
3, 1, 220
3, 2, 219
2, 1, 216
2, 0, 218
2, 0, 218
2, 2, 214
2, 1, 218
3, 0, 217
3, 0, 217
2, 0, 219
3, 2, 219
3, 0, 218
2, 0, 217
2, 0, 217
2, 0, 216
2, -1, 217
2, 0, 219
2, -1, 220
3, -1, 218
4, 1, 216
2, 1, 219
2, 1, 220
3, 1, 217
1, 2, 217
2, 1, 215
2, 0, 218
1, 0, 216
5, -1, 216
3, 0, 219
2, 0, 217
3, -1, 220
3, 0, 217
3, 1, 218
2, 0, 217
3, 0, 217
1, 0, 215
1, 1, 219
2, 1, 218
2, 0, 220
3, 0, 218
2, 0, 219
1, 2, 218
1, 1, 217
2, 0, 219
2, 0, 219
3, -1, 217
1, 2, 219
5, 0, 219
3, 1, 216
3, -1, 219
5, -1, 217
2, 0, 218
3, 0, 219
2, 0, 218
1, 0, 219
3, 0, 216
3, 0, 219
4, 0, 219
2, -1, 219
2, -1, 219
3, 0, 218
2, 0, 218
3, -1, 217
3, -1, 219
4, 0, 218
3, 1, 216
4, 0, 218
3, -1, 220
4, 0, 217
3, 0, 216
2, 1, 216
3, 1, 218
2, 0, 219
2, 1, 221
2, 1, 216
3, 2, 215
3, 2, 214
3, 1, 216
3, 1, 217
2, 0, 219
3, 1, 219
3, 0, 218
3, -1, 217
2, 0, 219
2, 1, 217
3, 1, 217
3, 1, 216
2, 0, 215
3, 0, 218
2, 0, 219
4, 2, 217
2, 0, 218
3, 0, 217
2, 0, 218
3, 1, 220
3, 0, 218
4, 0, 220
1, 0, 213
-1, 1, 204
4, 2, 218
5, 3, 236
1, 1, 226
-3, -2, 207
6, 1, 217
6, 3, 226
-2, 0, 225
-1, -3, 219
6, 2, 215
4, 2, 217
