x, y, z
6, 4, 217
6, 3, 221
6, 3, 220
6, 4, 219
6, 3, 222
5, 3, 219
5, 2, 217
7, 3, 218
7, 2, 217
5, 3, 219
7, 1, 218
7, 4, 218
7, 0, 220
6, 2, 219
4, 2, 219
5, 3, 218
4, 3, 218
4, 3, 218
6, 3, 216
5, 3, 218
6, 3, 218
5, 3, 220
5, 3, 218
5, 4, 219
6, 3, 213
6, 5, 215
5, 3, 217
4, 2, 218
6, 0, 218
6, 2, 221
5, 2, 219
6, 2, 219
6, 3, 216
6, 3, 220
5, 2, 217
4, 2, 218
4, 1, 218
5, 1, 222
6, 3, 217
7, 2, 217
7, 3, 219
4, 4, 218
6, 6, 217
8, 3, 219
6, 2, 216
4, 2, 219
6, 2, 221
7, 4, 218
5, 2, 220
7, 3, 219
6, 2, 217
5, 3, 218
7, 1, 220
6, 3, 219
6, 3, 217
5, 3, 218
5, 2, 218
7, 1, 220
5, 1, 221
6, 2, 218
6, 1, 219
6, 0, 221
6, 1, 218
5, 1, 219
5, 2, 217
6, 1, 219
4, 1, 219
9, -7, 216
-1, -39, 221
-72, -143, 216
-52, -208, 213
47, -243, 214
71, -203, 198
23, -195, 222
26, -131, 206
-3, -124, 233
6, 13, 211
-21, -8, 222
-39, 0, 234
15, 15, 236
-18, 74, 230
-24, 120, 218
2, 171, 233
14, 204, 211
-13, 228, 215
-24, 229, 225
-22, 186, 227
-8, 116, 220
1, 66, 220
7, 10, 213
8, 0, 218
5, 2, 219
7, 6, 218
2, 0, 219
1, 0, 219
0, 0, 217
1, 1, 217
1, 2, 219
2, 2, 218
3, 2, 218
3, 2, 219
2, 2, 219
2, 2, 219
3, 0, 218
2, 2, 219
3, 1, 219
4, 2, 216
2, 2, 218
3, 0, 219
3, 1, 221
2, 1, 220
3, 2, 218
2, 2, 218
3, 1, 220
3, 2, 218
1, 1, 220
2, 2, 219
3, 2, 219
2, 2, 218
3, 2, 218
3, 2, 217
2, 3, 219
1, 2, 221
2, 2, 216
3, 1, 220
3, 1, 222
3, 1, 220
3, 0, 217
4, 1, 217
4, 3, 216
3, 2, 220
3, 2, 219
2, 1, 221
4, 2, 220
3, 3, 218
2, 2, 217
3, 2, 219
3, 2, 218
3, 1, 220
2, 2, 221
2, 2, 217
2, 1, 219
2, 2, 218
2, 2, 218
4, 1, 218
2, 2, 220
2, 3, 220
4, 2, 218
4, 0, 220
4, 2, 219
2, 2, 216
2, 7, 216
3, 15, 218
5, 15, 217
6, 28, 218
7, 149, 224
10, 165, 228
19, 191, 217
16, 177, 227
38, 206, 219
-9, 222, 201
-48, 226, 234
-143, 177, 242
-113, 121, 280
-74, 91, 211
-63, -149, 231
-38, -212, 195
120, -274, 208
96, -288, 208
41, -230, 210
24, -179, 217
11, -158, 213
2, -123, 216
-4, -109, 216
4, 0, 218
10, -4, 218
9, -20, 218
3, 14, 219
1, 12, 217
3, 4, 218
5, 2, 217
8, 4, 217
5, 2, 220
5, 5, 216
6, 3, 218
6, 2, 218
